20"CTR_NO","CTR_SIZE","LDD_MT_FLG","IMP_EXP_FLG","FCL_LCL_FLG","SEAL_NO","SLINE_CD","ICD_LOC_CD","STK_LOC","ROW_NO","COLUMN_NO","HEIGHT","STK_ID","ID"
"HDMU2562539",20,"E","E","","","GRM","WHF","532/005A","532","005","A","NP","NP:532:005:A"
"TEMU0791801",20,"E","E","","","SGDPL","ST","023/098A","023","098","A","S4","S4:023:098:A"
"FCIU7126140",40,"E","E","","","KMTP","IWH","100/027C","100","027","C","I4","I4:100:027:C"
"MSBU3268113",20,"E","E","FCL","","MSC","IWH","554/036A","554","036","A","IP","IP:554:036:A"
"ONEU6970050",40,"L","I","FCL","CNDJ06391","ONEPL","IWH","558/001A","558","001","A","IP","IP:558:001:A"
"TCLU3152941",20,"L","I","FCL","D2711268","ESAPL","ST","015/011A","015","011","A","S3","S3:015:011:A"
"TRHU6244831",40,"L","X","FCL","","HUENG","ST","010/051B","010","051","B","S2","S2:010:051:B"
"SKHU8417925",40,"L","X","FCL","","HUENG","EWH","200/002C","200","002","C","E1","E1:200:002:C"
"CMAU8680465",40,"L","X","FCL","639904","CMCGM","ST","006/037B","006","037","B","S1","S1:006:037:B"
"BEAU5297748",40,"E","E","","","ONEPL","WHF","525/045A","525","045","A","5P","5P:525:045:A"
"ONEU5435698",40,"E","E","","","ONEPL","ST","041/023B","041","023","B","S5","S5:041:023:B"
"TRHU4925878",40,"L","I","FCL","M9364144","CMCGM","ST","026/002A","026","002","A","S4","S4:026:002:A"
"MRKU0392815",40,"E","E","","","MAI","ST","012/094A","012","094","A","S2","S2:012:094:A"
"VMLU3902967",40,"E","E","","","GRM","ST","036/025A","036","025","A","S5","S5:036:025:A"
"TRHU5566540",40,"L","X","FCL","","CUPL","ST","008/037A","008","037","A","S2","S2:008:037:A"
"TRHU8768020",40,"L","I","FCL","M9331050","CMCGM","IWH","558/039A","558","039","A","IP","IP:558:039:A"
"ECMU4769650",40,"E","X","FCL","","CMCGM","WHF","508/095B","508","095","B","2P","2P:508:095:B"
"ONEU2396392",20,"E","E","FCL","","ONEPL","IWH","554/035C","554","035","C","IP","IP:554:035:C"
"SEKU6418579",40,"L","X","FCL","","CMCGM","ST","011/048B","011","048","B","S2","S2:011:048:B"
"PCIU8933954",40,"E","E","FCL","","PACIF","ST","037/051B","037","051","B","S5","S5:037:051:B"
"CMAU5046077",40,"L","I","FCL","M9563439","CMCGM","IWH","558/045A","558","045","A","IP","IP:558:045:A"
"TCNU2399493",40,"L","I","FCL","M0406877","CMCGM","IWH","119/007B","119","007","B","P5","P5:119:007:B"
"ECMU2871615",20,"L","I","FCL","M9674191","CMCGM","ST","014/006B","014","006","B","S2","S2:014:006:B"
"FFAU6905236",40,"E","E","FCL","","ONEPL","WHF","519/013B","519","013","B","4P","4P:519:013:B"
"IAAU2046411",20,"L","I","FCL","IAAJ059763","AMPL","IWH","551/033A","551","033","A","IP","IP:551:033:A"
"FBIU0345335",20,"E","E","FCL","","ONEPL","ST","020/080C","020","080","C","S3","S3:020:080:C"
"SEGU1955272",20,"L","I","FCL","THBQ52705","ONEPL","IWH","552/050A","552","050","A","IP","IP:552:050:A"
"ONEU6322145",40,"L","I","FCL","THBQ48856","ONEPL","IWH","559/029A","559","029","A","IP","IP:559:029:A"
"ECMU2967316",20,"L","I","FCL","M9674153","CMCGM","ST","018/008B","018","008","B","S3","S3:018:008:B"
"CAIU4958072",40,"E","E","","","KMTP","WHF","521/048B","521","048","B","4P","4P:521:048:B"
"VSBU2605311",20,"E","E","","","MAMPL","ST","022/089C","022","089","C","S4","S4:022:089:C"
"PCIU9202492",40,"E","E","FCL","","PACIF","IWH","099/007B","099","007","B","I4","I4:099:007:B"
"CSYU4012488",40,"E","E","FCL","","CSCLP","WHF","518/053C","518","053","C","4P","4P:518:053:C"
"WHSU2666184",20,"E","E","FCL","","WHLL","ST","017/076B","017","076","B","S3","S3:017:076:B"
"UETU6883054",40,"L","I","FCL","HLG2017271","HLI","IWH","122/006C","122","006","C","P7","P7:122:006:C"
"VMLU4220067",40,"E","E","","","GRM","ST","040/041A","040","041","A","S5","S5:040:041:A"
"BAXU5035553",40,"E","E","","","BAYPL","ST","041/032A","041","032","A","S5","S5:041:032:A"
"HASU1279473",20,"E","E","","","MAI","ST","024/094A","024","094","A","S4","S4:024:094:A"
"DPWU9005582",40,"E","E","","","UAIPL","WHF","520/046A","520","046","A","4P","4P:520:046:A"
"PONU2076947",20,"E","E","","","MAI","ST","019/092B","019","092","B","S3","S3:019:092:B"
"KKFU7924621",40,"E","E","","","ONEPL","WHF","525/003D","525","003","D","5P","5P:525:003:D"
"SEKU5687589",40,"E","X","","","CMCGM","WHF","533/007C","533","007","C","NP","NP:533:007:C"
"TRHU4371499",40,"L","I","FCL","40131911","COSCO","ST","027/032B","027","032","B","S4","S4:027:032:B"
"OOCU5968393",40,"L","I","FCL","OOLKZE6419","OOCL","IWH","560/017A","560","017","A","IP","IP:560:017:A"
"ECNU2280787",20,"E","E"," ","","ECM","WHF","511/022A","511","022","A","3P","3P:511:022:A"
"SEKU6933579",40,"E","X","","","ECM","EWH","201/014A","201","014","A","E1","E1:201:014:A"
"HALU2311384",20,"E","E","","","HUENG","ST","017/081A","017","081","A","S3","S3:017:081:A"
"CAAU4718150",40,"E","E","FCL","","CSCLP","ST","022/069A","022","069","A","S4","S4:022:069:A"
"WHSU0313803",20,"E","E","FCL","","WHLL","ST","015/079A","015","079","A","S3","S3:015:079:A"
"NLLU4119072",40,"L","I","FCL","HLG5355327","NAV","IWH","080/017C","080","017","C","I1","I1:080:017:C"
"TEMU8146620",40,"E","E","FCL","","NAV","ST","035/026A","035","026","A","M1","M1:035:026:A"
"UNXU2996228",20,"E","E","","","SHLP","WHF","531/004C","531","004","C","NP","NP:531:004:C"
"EASU9694570",40,"E","E","","","GRM","WHF","521/029A","521","029","A","4P","4P:521:029:A"
"WHLU0300312",20,"E","E","","","HUBLL","ST","015/097D","015","097","D","S3","S3:015:097:D"
"FFAU6993134",40,"E","E","","","YML","IWH","112/002B","112","002","B","R2","R2:112:002:B"
"LYGU3117204",20,"L","X","FCL","639579","ECM","EWH","197/016B","197","016","B","E1","E1:197:016:B"
"FYCU7007740",20,"E","E","","","ECM","WHF","512/094C","512","094","C","3P","3P:512:094:C"
"TGBU2320210",20,"L","I","FCL","25H1468344","HMIPL","IWH","552/029A","552","029","A","IP","IP:552:029:A"
"BSIU3210883",20,"L","I","FCL","25H1468348","HMIPL","IWH","553/029A","553","029","A","IP","IP:553:029:A"
"TCNU3910519",40,"L","I","FCL","M1787234","CMCGM","IWH","132/021A","132","021","A","I6","I6:132:021:A"
"WHSU5082630",40,"E","E","","","WHLL","WHF","521/050A","521","050","A","4P","4P:521:050:A"
"BAXU2659350",20,"E","E","","","BAYPL","ST","025/085A","025","085","A","S4","S4:025:085:A"
"BEAU6400470",40,"E","E","FCL","","CSCLP","IWH","097/015C","097","015","C","I4","I4:097:015:C"
"TEMU2031325",20,"L","I","FCL","D2710017","ESAPL","ST","015/020C","015","020","C","S3","S3:015:020:C"
"FFAU4048469",40,"E","E","","","MSC","EWH","536/009C","536","009","C","EP","EP:536:009:C"
"VMLU3506122",20,"E","E","","","GRM","WHF","514/081A","514","081","A","3P","3P:514:081:A"
"ESDU2238319",20,"E","E","","","ESAPL","ST","025/084A","025","084","A","S4","S4:025:084:A"
"FYCU7241439",20,"E","E","","","ECM","ST","021/074A","021","074","A","S3","S3:021:074:A"
"DFSU6683438",40,"E","E","","","GRM","WHF","521/042B","521","042","B","4P","4P:521:042:B"
"TCNU9673292",40,"L","X","LCL","","HUBLL","ST","012/048A","012","048","A","S2","S2:012:048:A"
"LEAU4912518",40,"L","I","FCL","009410","NAV","ST","023/058D","023","058","D","S4","S4:023:058:D"
"CAAU8580959",40,"L","I","FCL","H64488","HLI","ST","027/055B","027","055","B","S4","S4:027:055:B"
"TRLU8196263",40,"L","I","FCL","B041944","NAV","IWH","551/021A","551","021","A","IP","IP:551:021:A"
"INLU4101765",40,"E","E","","","SHLP","IWH","098/029D","098","029","D","I4","I4:098:029:D"
"INLU4103897",40,"E","E","","","SHLP","WHF","521/001A","521","001","A","4P","4P:521:001:A"
"GESU6898761",40,"L","I","FCL","M5143305","CMCGM","IWH","119/007A","119","007","A","P5","P5:119:007:A"
"CSNU2571502",20,"E","E","FCL","","OOCL","IWH","554/037A","554","037","A","IP","IP:554:037:A"
"CSGU7071310",40,"E","E","FCL","","OOCL","IWH","100/018A","100","018","A","I4","I4:100:018:A"
"OOLU2945770",20,"E","E","FCL","","OOCL","ST","018/092C","018","092","C","S3","S3:018:092:C"
"OOLU0352518",20,"L","I","FCL","OOLKFJ0083","OOCL","ST","020/012C","020","012","C","S3","S3:020:012:C"
"OOCU7989923",40,"L","I","FCL","40131914","COSCO","WHF","513/019A","513","019","A","3P","3P:513:019:A"
"SEKU6933584",40,"E","E","FCL","","ECM","IWH","098/008A","098","008","A","I4","I4:098:008:A"
"SEGU6183356",40,"E","E","","","ULSS","ST","039/013A","039","013","A","S5","S5:039:013:A"
"HLBU1190300",40,"E","E","","","HLI","ST","029/038D","029","038","D","M1","M1:029:038:D"
"TCNU6250194",40,"E","E","","","UAIPL","ST","039/017A","039","017","A","S5","S5:039:017:A"
"ECNU2346518",20,"E","E","","","ECM","WHF","512/088A","512","088","A","3P","3P:512:088:A"
"HLBU1192860",40,"E","E","","","HLI","ST","029/046A","029","046","A","M1","M1:029:046:A"
"KOCU4207230",40,"L","I","FCL","25H1504409","HMIPL","IWH","121/009B","121","009","B","P7","P7:121:009:B"
"BSIU8510517",40,"E","E","","","ECM","WHF","526/003A","526","003","A","6P","6P:526:003:A"
"HALU2421191",20,"E","E","","","SMMC","WHF","510/077A","510","077","A","2P","2P:510:077:A"
"BMOU5297172",40,"L","I","FCL","M9733063","CMCGM","IWH","553/002B","553","002","B","IP","IP:553:002:B"
"TCNU2343534",40,"L","I","FCL","M6964110","CMCGM","IWH","552/037B","552","037","B","IP","IP:552:037:B"
"CMAU7517010",40,"E","X","FCL","","CMCGM","NTA","334/024B","334","024","B","N8","N8:334:024:B"
"SEKU4119033",40,"L","I","FCL","M7948164","CMCGM","IWH","121/001B","121","001","B","P7","P7:121:001:B"
"UETU6444690",40,"L","I","FCL","M9564297","CMCGM","IWH","558/043A","558","043","A","IP","IP:558:043:A"
"ONEU2924756",20,"E","E","","","ONEPL","WHF","514/084D","514","084","D","3P","3P:514:084:D"
"KKTU8075396",20,"E","E","","","ONEPL","WHF","510/081A","510","081","A","2P","2P:510:081:A"
"KKTU8238019",20,"E","E","","","ONEPL","ST","020/088C","020","088","C","S3","S3:020:088:C"
"OOLU9808297",40,"L","I","FCL","067958","OOCL","EWH","550/035A","550","035","A","EP","EP:550:035:A"
"FCIU5174617",20,"E","E","","","GRM","ST","027/085A","027","085","A","S4","S4:027:085:A"
"NLLU4119112",40,"E","E","FCL","","NAV","WHF","518/024C","518","024","C","4P","4P:518:024:C"
"WHLU5412526",40,"E","E","FCL","","NAV","IWH","099/033A","099","033","A","I4","I4:099:033:A"
"TCLU7463448",20,"L","X","FCL","","CMCGM","EWH","538/016B","538","016","B","EP","EP:538:016:B"
"KKTU8061284",20,"L","X","FCL","","ONEPL","EWH","540/027B","540","027","B","EP","EP:540:027:B"
"FTAU1599716",20,"E","E","","","ONEPL","EWH","197/022B","197","022","B","E1","E1:197:022:B"
"YMLU3251940",20,"E","E","","","VOLGA","WHF","513/089B","513","089","B","3P","3P:513:089:B"
"TCLU2551340",20,"E","E","","","MSC","ST","020/087A","020","087","A","S3","S3:020:087:A"
"ONEU2795089",20,"E","E","","","ONEPL","EWH","200/021A","200","021","A","E1","E1:200:021:A"
"TEMU5044389",20,"E","E","","","CMT","WHF","512/095A","512","095","A","3P","3P:512:095:A"
"FSCU7113142",40,"L","I","FCL","M0407777","CMCGM","IWH","555/033A","555","033","A","IP","IP:555:033:A"
"SKLU1820074",20,"E","E","FCL","","SMMC","WHF","507/085C","507","085","C","2P","2P:507:085:C"
"CAIU9275612",40,"L","X","FCL","639683","CMCGM","ST","007/056C","007","056","C","S1","S1:007:056:C"
"TCLU2067589",20,"L","X","FCL","","MSC","ST","007/035B","007","035","B","S1","S1:007:035:B"
"IAAU2006300",20,"L","I","FCL","IAAJ338346","AMPL","ST","019/016C","019","016","C","S3","S3:019:016:C"
"TCNU1236995",40,"L","X","FCL","","CMCGM","EWH","203/019A","203","019","A","E1","E1:203:019:A"
"DFSU1939018",20,"E","E","","","AMPL","ST","023/090B","023","090","B","S4","S4:023:090:B"
"TCNU6611152",40,"E","E","","","ONEPL","WHF","523/043B","523","043","B","5P","5P:523:043:B"
"SEKU6796711",40,"E","E","","","UAIPL","ST","028/046B","028","046","B","S4","S4:028:046:B"
"OOCU9178226",40,"L","I","FCL","SYA5046794","COSCO","IWH","082/001A","082","001","A","I1","I1:082:001:A"
"TXGU5399817",40,"L","I","FCL","2236254","MSC","WHF","515/055A","515","055","A","3P","3P:515:055:A"
"EMCU9857882",40,"L","I","FCL","11215240","MAMPL","WHF","520/019B","520","019","B","4P","4P:520:019:B"
"ECMU7065063",40,"L","I","FCL","UL5330296","CMCGM","ST","027/059D","027","059","D","S4","S4:027:059:D"
"CAAU6827227",40,"L","I","FCL","FX43041521","MSC","ST","025/020B","025","020","B","S4","S4:025:020:B"
"TCNU3670850",40,"L","I","FCL","M9646902","CMCGM","ST","024/048B","024","048","B","S4","S4:024:048:B"
"OOLU8872394",40,"E","E","","","OOCL","WHF","525/051C","525","051","C","5P","5P:525:051:C"
"CMAU0347062",20,"L","X","FCL","BOLT52370922","CMCGM","WHF","502/037A","502","037","A","1P","1P:502:037:A"
"MSDU7737920",40,"L","I","FCL","4953695","MSC","ST","028/031A","028","031","A","S4","S4:028:031:A"
"DPWU2059057",20,"E","E","","","UAIPL","ST","022/085B","022","085","B","S4","S4:022:085:B"
"LEGU2039637",20,"E","E","","","UAIPL","ST","021/080C","021","080","C","S3","S3:021:080:C"
"TEMU3502538",20,"E","E","","","MSC","ST","021/076B","021","076","B","S3","S3:021:076:B"
"HLHU8532480",40,"E","E","","","SMMC","WHF","521/009B","521","009","B","4P","4P:521:009:B"
"TCNU2653421",40,"L","I","FCL","M9356036","CMCGM","ST","023/016B","023","016","B","S4","S4:023:016:B"
"CMAU8946750",40,"E","E","FCL","","CMCGM","WHF","509/090B","509","090","B","2P","2P:509:090:B"
