20"CTR_NO","CTR_SIZE","LDD_MT_FLG","IMP_EXP_FLG","FCL_LCL_FLG","SEAL_NO","SLINE_CD","ICD_LOC_CD","STK_LOC","ROW_NO","COLUMN_NO","HEIGHT","STK_ID","ID"
"WCIU4821932",40,"E","E","FCL","","GSA","NTA","305/001A","305","001","A","N2","N2:305:001:A"
"TPHU6717381",20,"L","I","","","ACC","ST","033/024B","033","024","B","M1","M1:033:024:B"
"TPHU6124215",20,"E","E","FCL","","ESS","HVG","153/003B","153","003","B","H1","H1:153:003:B"
"XTRU8580432",20,"L","I","","","MAI","ST","033/013A","033","013","A","M1","M1:033:013:A"
"UXXU2237387",20,"L","X","","SEAL","KSA","ST","031/027C","031","027","C","M1","M1:031:027:C"
"GIAU2155886",20,"L","I","","","CNCR","HVG","179/004B","179","004","B","H4","H4:179:004:B"
"MLKU6000003",20,"E","I","","","ACC","NTA","334/009A","334","009","A","N8","N8:334:009:A"
"UFCU6390877",20,"E","E","FCL","","TOP","ST","001/055C","001","055","C","S1","S1:001:055:C"
"GSTU5151089",20,"L","I","FCL","175498","SFS","NTA","301/022C","301","022","C","N1","N1:301:022:C"
"NONU2246656",20,"L","I","FCL","","CNCR","HVG","175/003C","175","003","C","H3","H3:175:003:C"
"SZDU3749203",20,"L","I","","MSC TRANSH","TOSA","WHF","533/013D","533","013","D","NP","NP:533:013:D"
"TEXU2614218",20,"L","I","","","ACC","HVG","174/004A","174","004","A","H3","H3:174:004:A"
"SCXU4009119",40,"L","I","","","CNCR","ST","029/029D","029","029","D","M1","M1:029:029:D"
"TEXU3582007",20,"L","X","","SEAL","KSA","ST","032/018A","032","018","A","M1","M1:032:018:A"
"TEXU3206458",20,"L","X","","SEAL","KSA","HVG","173/002D","173","002","D","H3","H3:173:002:D"
"POCU0261881",20,"E","E","FCL","","PO","ST","033/012B","033","012","B","M1","M1:033:012:B"
"NSLU2804681",20,"L","X","FCL","SEALED","HJL","EWH","224/001A","224","001","A","E5","E5:224:001:A"
"NONU5065550",40,"E","E","FCL","","CNCR","WSP","230/001A","230","001","A","W1","W1:230:001:A"
"NONU5090625",40,"L","I","FCL","TRNSP_WH","CNCR","WHF","516/061C","516","061","C","4P","4P:516:061:C"
"ICSU3727819",20,"L","I","FCL","","SSL","ST","029/021A","029","021","A","M1","M1:029:021:A"
"MLCU2889924",20,"E","E","","","DMND","HVG","175/004D","175","004","D","H3","H3:175:004:D"
"GCDU0526343",20,"E","E","","","MAI","EWH","219/005A","219","005","A","E4","E4:219:005:A"
"ILCU5005832",20,"E","E","","","DCM","ST","031/024A","031","024","A","M1","M1:031:024:A"
"ITLU6775356",20,"E","E","","","ACC","ST","033/012A","033","012","A","M1","M1:033:012:A"
"ICSU3077950",20,"E","E","FCL","","ACC","ST","071/026C","071","026","C","S9","S9:071:026:C"
"GSTU3504145",20,"L","X","FCL","SEALED","SAI","ST","033/020A","033","020","A","M1","M1:033:020:A"
"ITLU6690515",20,"L","X","FCL","SEALED","SAI","ST","033/006B","033","006","B","M1","M1:033:006:B"
"HDMU2968235",20,"L","X","FCL","165011","SBMA","ST","033/029A","033","029","A","M1","M1:033:029:A"
"HDMU2919360",20,"L","X","FCL","162995","SBMA","ST","033/018A","033","018","A","M1","M1:033:018:A"
"IALU2010709",40,"E","E","FCL","","GSA","WHF","516/061D","516","061","D","4P","4P:516:061:D"
"IALU2011027",40,"E","E","FCL","TR_050712","GSA","WHF","505/055D","505","055","D","2P","2P:505:055:D"
"ICSU3929260",20,"E","E","","","LT","ST","031/019A","031","019","A","M1","M1:031:019:A"
"HDMU2072887",20,"L","X","FCL","164809","SBMA","HVG","176/006C","176","006","C","H3","H3:176:006:C"
"CAXU4078612",40,"E","E","FCL","","PIT","ST","071/003A","071","003","A","S9","S9:071:003:A"
"CATU3021065",20,"E","E","FCL","","DMND","HVG","148/004A","148","004","A","H1","H1:148:004:A"
"CATU3021276",20,"E","E","FCL","","DMND","ST","033/028B","033","028","B","M1","M1:033:028:B"
"CATU2803326",20,"E","E","FCL","","SFS","EWH","219/009A","219","009","A","E4","E4:219:009:A"
"CATU2813474",20,"E","E","FCL","","SFS","EWH","207/023A","207","023","A","E2","E2:207:023:A"
"GSTU4206280",20,"E","E","","","MAI","IWH","111/022A","111","022","A","R1","R1:111:022:A"
"DSIU5102975",20,"E","E","FCL","","DMND","ST","008/081D","008","081","D","S2","S2:008:081:D"
"GSTU8033032",40,"L","I","","","ACC","EWH","218/026A","218","026","A","E4","E4:218:026:A"
"CTIU9604383",40,"E","I","FCL","","DSP","WHF","505/055C","505","055","C","2P","2P:505:055:C"
"CTIU4443970",40,"E","E","","","DGSA","WHF","505/055B","505","055","B","2P","2P:505:055:B"
"CSSU0683820",20,"E","E","","","ACC","WHF","503/009A","503","009","A","1P","1P:503:009:A"
"CLOU2272884",20,"E","E","","","ACC","NTA","327/001C","327","001","C","N6","N6:327:001:C"
"CKPU2854951",20,"L","X","FCL","173991","SSL","EWH","227/003B","227","003","B","E5","E5:227:003:B"
"ESLU9000310",20,"E","E","FCL","","DSPL","NTA","322/003A","322","003","A","N5","N5:322:003:A"
"OCLU4176753",20,"L","I","FCL","","PO","NTA","306/019B","306","019","B","N2","N2:306:019:B"
"EACU9109904",40,"E","E","FCL","TRSP_WH","GSA","WHF","518/033B","518","033","B","4P","4P:518:033:B"
"TRLU2287860",20,"E","E","FCL","","SAI","HVG","153/005A","153","005","A","H1","H1:153:005:A"
"TRIU2870384",20,"E","I","","","ACC","HVG","179/008B","179","008","B","H4","H4:179:008:B"
"TRIU2562674",20,"E","E","FCL","","CSEL","WHF","532/036A","532","036","A","NP","NP:532:036:A"
"CAXU2122383",20,"E","I","","","ACC","WSP","229/005A","229","005","A","W1","W1:229:005:A"
"APLU788776",40,"E","E","FCL","","APL","WSP","231/001B","231","001","B","W1","W1:231:001:B"
"CAXU4155914",40,"L","X","FCL","SEALED","RKL","ST","072/001C","072","001","C","S9","S9:072:001:C"
"CAXU4105087",40,"L","X","FCL","SEALED","RKL","WHF","505/055A","505","055","A","2P","2P:505:055:A"
"TRIU2952311",20,"E","E","FCL","","SACM","HVG","149/004A","149","004","A","H1","H1:149:004:A"
"CBHU0419529",20,"L","I","","","CNCR","HVG","176/007A","176","007","A","H3","H3:176:007:A"
"CBHU0667947",20,"L","I","","","CNCR","HVG","175/007A","175","007","A","H3","H3:175:007:A"
"LTIU2536835",20,"L","I","FCL","","LT","ST","030/018A","030","018","A","M1","M1:030:018:A"
"LTIU2503805",20,"L","I","FCL","","LT","ST","031/024B","031","024","B","M1","M1:031:024:B"
"LTIU2461649",20,"L","I","FCL","","LT","ST","031/025C","031","025","C","M1","M1:031:025:C"
"LTIU2370472",20,"L","I","FCL","","LT","ST","032/023B","032","023","B","M1","M1:032:023:B"
"CBHU0686504",20,"L","I","","","CNCR","HVG","175/008B","175","008","B","H3","H3:175:008:B"
"CBHU0589696",20,"L","I","","","CNCR","HVG","175/004B","175","004","B","H3","H3:175:004:B"
"CBHU0296759",20,"E","I","","","ACC","HVG","156/003C","156","003","C","H1","H1:156:003:C"
"GSTU3723499",20,"E","E","","","SFS","EWH","205/005A","205","005","A","E2","E2:205:005:A"
"PONU0932448",20,"L","I","FCL","4943261","PO","IWH","111/025A","111","025","A","R1","R1:111:025:A"
"NONU1034854",40,"E","E","FCL","","CNCR","NTA","299/015D","299","015","D","N1","N1:299:015:D"
"APLU700106",40,"L","I","FCL","","APL","ST","029/005A","029","005","A","M1","M1:029:005:A"
"ILCU5029011",20,"E","E","","","DCM","ST","033/015C","033","015","C","M1","M1:033:015:C"
"OCLU4161898",20,"E","E","FCL","","CNCR","NTA","327/003B","327","003","B","N6","N6:327:003:B"
"ITAU2100830",20,"L","I","FCL","","LT","ST","032/015C","032","015","C","M1","M1:032:015:C"
"TPXU6781391",20,"E","E","FCL","","ESS","WHF","505/057D","505","057","D","2P","2P:505:057:D"
"TPHU8163437",20,"E","E","FCL","","SFS","EWH","208/008B","208","008","B","E2","E2:208:008:B"
"LMTU8328170",20,"E","I","","","ACC","ST","074/002D","074","002","D","X3","X3:074:002:D"
"ICSU4191696",20,"E","E","FCL","","ESS","HVG","148/004D","148","004","D","H1","H1:148:004:D"
"CRXU1003949",20,"L","I","FCL","","LT","ST","033/016C","033","016","C","M1","M1:033:016:C"
"COSU3028701",20,"L","I","","","CNCR","HVG","176/007D","176","007","D","H3","H3:176:007:D"
"CSQU8092540",20,"L","I","FCL","","OCN","NTA","334/020D","334","020","D","N8","N8:334:020:D"
"SZDU2040787",20,"E","I","","","ACC","HVG","175/006B","175","006","B","H3","H3:175:006:B"
"MMMU0180227",20,"L","I","","","CNCR","HVG","175/009A","175","009","A","H3","H3:175:009:A"
"MMMU0603817",20,"E","E","FCL","","TOSA","ST","031/001B","031","001","B","M1","M1:031:001:B"
"MMMU1094355",20,"L","I","","","CNCR","HVG","175/007B","175","007","B","H3","H3:175:007:B"
"MMMU1251433",20,"E","E","","","ACC","WHF","505/059D","505","059","D","2P","2P:505:059:D"
"HLCU4327533",40,"E","E","FCL","","CNCR","NTA","330/001D","330","001","D","N7","N7:330:001:D"
"HLCU4328653",40,"E","E","FCL","","CNCR","NTA","331/009C","331","009","C","N7","N7:331:009:C"
"JUGU0050023",20,"E","E","FCL","","OCN","EWH","207/013C","207","013","C","E2","E2:207:013:C"
"JCSU2034256",20,"E","E","FCL","","DMND","NTA","327/004B","327","004","B","N6","N6:327:004:B"
"JAYU2013660",20,"E","E","","","DMND","NTA","326/003A","326","003","A","N6","N6:326:003:A"
"SCXU4621799",40,"E","E","FCL","","CNCR","WHF","505/059C","505","059","C","2P","2P:505:059:C"
"TRIU3902911",20,"E","E","FCL","","CSEL","EWH","208/006C","208","006","C","E2","E2:208:006:C"
"SZDU2036747",20,"L","I","","","CNCR","HVG","176/006B","176","006","B","H3","H3:176:006:B"
"SZDU2188860",20,"L","I","","","CNCR","HVG","176/008C","176","008","C","H3","H3:176:008:C"
"MLCU2443613",20,"E","E","FCL","","TCS","EWH","205/023A","205","023","A","E2","E2:205:023:A"
"ALRU0859910",20,"E","E","FCL","","SCAN","ST","020/064A","020","064","A","S3","S3:020:064:A"
"ALRU2054529",20,"E","E","","","CMS","HVG","176/008A","176","008","A","H3","H3:176:008:A"
"ADNU0249331",20,"L","I","FCL","","LT","ST","033/028A","033","028","A","M1","M1:033:028:A"
"TOLU3300981",20,"E","E","","","ACC","WSP","232/001B","232","001","B","W1","W1:232:001:B"
"TOLU2592087",20,"L","I","","","CNCR","WHF","504/018B","504","018","B","1P","1P:504:018:B"
"TOLU2209630",40,"L","I","FCL","TRNSP_WH","CNCR","NTA","333/018C","333","018","C","N8","N8:333:018:C"
"TPHU4530494",40,"L","I","","PGMD CARGO","CNCR","EWH","218/011B","218","011","B","E4","E4:218:011:B"
"TPHU2071950",20,"E","E","","","CMS","EWH","205/001A","205","001","A","E2","E2:205:001:A"
"NOSU2255532",20,"E","E","FCL","","NOL","HVG","179/008C","179","008","C","H4","H4:179:008:C"
"FBZU8459328",20,"E","E","FCL","","CMA","WSP","230/003B","230","003","B","W1","W1:230:003:B"
"TRLU3228558",20,"L","I","","","CNCR","WHF","502/002A","502","002","A","1P","1P:502:002:A"
"GSTU6068575",40,"E","E","FCL","","CNCR","NTA","324/019D","324","019","D","N6","N6:324:019:D"
"TRIU3403337",20,"E","E","FCL","","SFS","EWH","213/003A","213","003","A","E3","E3:213:003:A"
"AFRU2526808",20,"E","E","FCL","","SCAN","NTA","327/002D","327","002","D","N6","N6:327:002:D"
"GSTU4043710",20,"E","E","","","SFS","WHF","503/015B","503","015","B","1P","1P:503:015:B"
"BLJU2921189",20,"L","I","FCL","","NLS","NTA","302/025A","302","025","A","N1","N1:302:025:A"
"FBZU8424173",20,"L","I","","","CNCR","ST","032/019C","032","019","C","M1","M1:032:019:C"
"GSTU2122908",20,"L","I","FCL","","PO","ST","031/028B","031","028","B","M1","M1:031:028:B"
"MLCU2313158",20,"E","E","FCL","","TCS","NTA","326/011C","326","011","C","N6","N6:326:011:C"
"MGIU2352098",40,"E","E","FCL","","CNCR","EWH","219/011A","219","011","A","E4","E4:219:011:A"
"MANU4313028",40,"E","E","FCL","","SSA","ST","071/011D","071","011","D","S9","S9:071:011:D"
"MAEU7862637",20,"L","I","FCL","","MAI","WHF","502/013A","502","013","A","1P","1P:502:013:A"
"FBZU6104653",20,"L","I","","","CNCR","HVG","175/003B","175","003","B","H3","H3:175:003:B"
"FBZU6108129",20,"L","I","","","CNCR","HVG","176/006A","176","006","A","H3","H3:176:006:A"
"FBZU6187555",20,"E","E","","","ACC","HVG","189/001A","189","001","A","H4","H4:189:001:A"
"FBZU6229136",20,"L","I","","","CNCR","HVG","175/002D","175","002","D","H3","H3:175:002:D"
"EWLU2250255",20,"L","I","FCL","","CNCR","NTA","298/013B","298","013","B","N1","N1:298:013:B"
"GSTU4058834",20,"L","I","FCL","","NLS","NTA","306/017B","306","017","B","N2","N2:306:017:B"
"GSTU2819791",20,"L","I","FCL","","LT","ST","033/027C","033","027","C","M1","M1:033:027:C"
"MLCU2640171",20,"E","I","FCL","","ACC","ST","031/027B","031","027","B","M1","M1:031:027:B"
"JAYU1030322",20,"E","E","FCL","","SDS","IWH","111/020A","111","020","A","R1","R1:111:020:A"
"CTIU3450085",20,"E","I","","","ACC","EWH","218/001A","218","001","A","E4","E4:218:001:A"
"GSTU4452215",20,"L","I","FCL","","MAI","ST","032/012A","032","012","A","M1","M1:032:012:A"
"KNLU2078082",20,"L","I","FCL","","PO","NTA","301/016B","301","016","B","N1","N1:301:016:B"
"JUGU0048140",20,"L","I","FCL","","OCN","NTA","301/016A","301","016","A","N1","N1:301:016:A"
"SCMU2023834",20,"L","I","FCL","123","SAF","NTA","304/020C","304","020","C","N2","N2:304:020:C"
"MSKU3096510",20,"L","I","FCL","123","MAI","WHF","533/017A","533","017","A","NP","NP:533:017:A"
"MLCU2889734",20,"L","I","FCL","","SH","NTA","334/016A","334","016","A","N8","N8:334:016:A"
"IALU4530470",40,"E","E"," ","","IAL","ST","073/009D","073","009","D","S9","S9:073:009:D"
"GLDU0304386",20,"E","E","FCL","10491","WWS","HVG","192/005A","192","005","A","H4","H4:192:005:A"
"WHLU8202610",20,"L","I","FCL","","SSL","ST","074/005A","074","005","A","X3","X3:074:005:A"
"MMMU3526479",20,"E","E","FCL","","TOSA","EWH","206/005A","206","005","A","E2","E2:206:005:A"
"UFCU633270A",20,"E","E","","","CNCR","HVG","176/004B","176","004","B","H3","H3:176:004:B"
"CMBU2307446",20,"E","E","FCL","","CMB","NTA","300/007B","300","007","B","N1","N1:300:007:B"
"TEXU2088284",20,"E","E","","","ACC","HVG","152/001C","152","001","C","H1","H1:152:001:C"
"TEXU2088052",20,"L","I","","","CNCR","NTA","328/001D","328","001","D","N7","N7:328:001:D"
"ITLU6952913",20,"L","I","","","CNCR","ST","032/001A","032","001","A","M1","M1:032:001:A"
"NONU3521357",20,"L","I","FCL","","ACC","WSP","231/004C","231","004","C","W1","W1:231:004:C"
"NONU4127993",40,"E","E","FCL","","CNCR","WHF","505/059B","505","059","B","2P","2P:505:059:B"
"NONU4152609",40,"E","E","FCL","","ACC","WHF","505/059A","505","059","A","2P","2P:505:059:A"
"FBZU3142388",20,"E","E","FCL","","ACC","NTA","327/014B","327","014","B","N6","N6:327:014:B"
"SAMU2218390",20,"E","E","FCL","","SAF","ST","023/095A","023","095","A","S4","S4:023:095:A"
"SZDU3321982",20,"L","I","","","CNCR","HVG","175/005B","175","005","B","H3","H3:175:005:B"
"SZDU3324045",20,"E","E","FCL","","TOSA","NTA","324/001C","324","001","C","N6","N6:324:001:C"
"SZDU3763726",20,"L","I","","","CNCR","HVG","176/004D","176","004","D","H3","H3:176:004:D"
"SZDU2622488",20,"E","I","","","ACC","HVG","187/001C","187","001","C","H4","H4:187:001:C"
"SCMU2077825",20,"E","E","FCL","","SAF","WHF","503/018A","503","018","A","1P","1P:503:018:A"
"SCMU2039403",20,"E","E","FCL","","SAF","ST","033/005B","033","005","B","M1","M1:033:005:B"
"TTNU2441045",20,"L","I","FCL","","CNCR","NTA","299/020A","299","020","A","N1","N1:299:020:A"
"TTNU2871426",20,"L","I","FCL","","CNCR","ST","011/004B","011","004","B","S2","S2:011:004:B"
"BLJU2912572",20,"L","I","FCL","","NLS","ST","028/045C","028","045","C","S4","S4:028:045:C"
"BLJU2912084",20,"L","I","FCL","","NLS","NTA","300/008C","300","008","C","N1","N1:300:008:C"
"CRXU1109669",20,"E","I","","","ACC","ST","071/026A","071","026","A","S9","S9:071:026:A"
"SEAU2284276",20,"L","I","FCL","MSC TRANSH","PIT","NTA","307/005D","307","005","D","N2","N2:307:005:D"
"INBU3860134",20,"E","E","FCL","","SFS","ST","033/014A","033","014","A","M1","M1:033:014:A"
"NONU5056683",40,"E","E","FCL","","CNCR","WHF","508/001A","508","001","A","2P","2P:508:001:A"
"NONU5062027",40,"L","I","","","CNCR","ST","029/005B","029","005","B","M1","M1:029:005:B"
"NONU4368975",40,"E","E","","","CNCR","WHF","508/001B","508","001","B","2P","2P:508:001:B"
"TRLU3497794",20,"E","E","FCL","","AEI","EWH","208/004C","208","004","C","E2","E2:208:004:C"
"FRSU8215220",20,"L","I","","","CNCR","HVG","179/004A","179","004","A","H4","H4:179:004:A"
"OTAU2633429",20,"E","E","","","SFS","EWH","208/008C","208","008","C","E2","E2:208:008:C"
"SPLU0211027",20,"E","E","","","MAI","HVG","188/001A","188","001","A","H4","H4:188:001:A"
"TRIU2987220",20,"E","E","FCL","","SACM","NTA","337/006A","337","006","A","N8","N8:337:006:A"
"TRLU3311359",20,"E","E","FCL","","UASL","HVG","156/001C","156","001","C","H1","H1:156:001:C"
"GATU0959910",20,"E","E","FCL","","UASL","EWH","205/004A","205","004","A","E2","E2:205:004:A"
"PONU0402237",20,"E","E","FCL","","UASL","EWH","207/005B","207","005","B","E2","E2:207:005:B"
"CAXU6082611",20,"L","I","FCL","","CNCR","NTA","328/010C","328","010","C","N7","N7:328:010:C"
"TPHU4272065",40,"L","I","","","CNCR","NTA","310/009D","310","009","D","N3","N3:310:009:D"
"FRLU9680875",40,"E","E","FCL","0","MAI","ST","042/063A","042","063","A","S5","S5:042:063:A"
"ILCU5032083",20,"E","E","","","CNCR","WHF","508/001C","508","001","C","2P","2P:508:001:C"
"MMMU0100710",20,"E","I","FCL","","ACC","NTA","334/001A","334","001","A","N8","N8:334:001:A"
"EISU3293371",20,"L","I","FCL","","LT","NTA","300/021D","300","021","D","N1","N1:300:021:D"
"HJCU2085967",20,"L","I","FCL","INT","HJS","ST","033/019C","033","019","C","M1","M1:033:019:C"
"LTIU2518390",20,"E","E","FCL","","UASL","HVG","179/003C","179","003","C","H4","H4:179:003:C"
"TPHU4292668",40,"L","I","","","CNCR","NTA","328/007C","328","007","C","N7","N7:328:007:C"
"ILCU5011060",20,"L","I","FCL","","ACC","WHF","501/002A","501","002","A","1P","1P:501:002:A"
"PONU7581509",40,"E","E","FCL","","PO","EWH","207/016A","207","016","A","E2","E2:207:016:A"
"CMBU2209671",20,"L","I","","","CNCR","ST","031/018B","031","018","B","M1","M1:031:018:B"
"CCLU3155899",20,"L","I","FCL","","MSS","NTA","299/020D","299","020","D","N1","N1:299:020:D"
"BHCU4228435",40,"E","E","FCL","","CMT","ST","074/002C","074","002","C","X3","X3:074:002:C"
"TRIU1703870",20,"L","I","FCL","","CNCR","ST","032/010A","032","010","A","M1","M1:032:010:A"
"SGLU2000360",20,"E","E","FCL","INT","SGL","EWH","214/007B","214","007","B","E3","E3:214:007:B"
"TTNU2722818",20,"E","E","FCL","","SGL","WSP","229/001A","229","001","A","W1","W1:229:001:A"
"CTIU5312819",40,"L","I","","OLD CARGO","CNCR","ST","071/003B","071","003","B","S9","S9:071:003:B"
"CTIU5308125",40,"E","I","","","ACC","IWH","127/003A","127","003","A","C2","C2:127:003:A"
"CTIU4033419",40,"E","I","FCL","","ACC","WHF","523/045A","523","045","A","5P","5P:523:045:A"
"CTIU5244226",40,"E","E","","","CNCR","WHF","508/001D","508","001","D","2P","2P:508:001:D"
"CTIU5370538",40,"L","I","","OLD CARGO","CNCR","ST","029/005C","029","005","C","M1","M1:029:005:C"
"CTIU5233920",40,"E","I","","","ACC","HVG","154/001B","154","001","B","H1","H1:154:001:B"
"CTIU5220950",40,"L","I","FCL","OLD CARGO","CNCR","EWH","218/015C","218","015","C","E4","E4:218:015:C"
"CTIU1508995",20,"L","I","","","CNCR","EWH","224/012A","224","012","A","E5","E5:224:012:A"
"CTIU3237260",20,"E","I","","","ACC","NTA","327/007A","327","007","A","N6","N6:327:007:A"
"CTIU3105920",20,"E","E","","","DCM","HVG","173/004A","173","004","A","H3","H3:173:004:A"
"AMEX2251615",20,"E","E","","","DCM","ST","031/004B","031","004","B","M1","M1:031:004:B"
"CLHU2317676",20,"L","I","FCL","","CNCR","WHF","504/019C","504","019","C","1P","1P:504:019:C"
"MSKU4494421",20,"L","I","FCL","INT","MAI","NTA","306/005A","306","005","A","N2","N2:306:005:A"
"TPHU8189956",20,"L","I","FCL","","CNCR","ST","033/025B","033","025","B","M1","M1:033:025:B"
"MMMU067178",20,"E","E","","","CNCR","WHF","530/002A","530","002","A","NP","NP:530:002:A"
"TPHU5291970",40,"L","I","FCL","","CNCR","WHF","508/003A","508","003","A","2P","2P:508:003:A"
"TCNU9639765",40,"L","I","FCL","IN","MOL","NTA","320/019C","320","019","C","N5","N5:320:019:C"
"CRXU1207937",20,"L","I","","","CNCR","WHF","517/034C","517","034","C","4P","4P:517:034:C"
"TCNU9632950",40,"L","I","FCL","INT","MOL","WHF","533/031D","533","031","D","NP","NP:533:031:D"
"CBHU0296933",20,"E","I","","","ACC","ST","032/020A","032","020","A","M1","M1:032:020:A"
"GESU2702356",20,"E","E","FCL","","APL","ST","074/002B","074","002","B","X3","X3:074:002:B"
"PONU0847006",20,"L","I","FCL","","CNCR","WHF","504/019B","504","019","B","1P","1P:504:019:B"
"CAXU2901315",20,"L","I","FCL","","CNCR","EWH","218/005B","218","005","B","E4","E4:218:005:B"
"IPXU3156070",20,"L","I","FCL","INT","NMS","NTA","299/018D","299","018","D","N1","N1:299:018:D"
"APLU961363",40,"L","I","FCL","","CNCR","ST","029/005D","029","005","D","M1","M1:029:005:D"
"ECMU1342875",20,"E","E","","","UASL","EWH","206/002B","206","002","B","E2","E2:206:002:B"
"FSCU3293811",20,"E","E","","","UASL","HVG","147/004B","147","004","B","H1","H1:147:004:B"
"CRXU1083693",20,"L","I","FCL","","CNCR","ST","031/030B","031","030","B","M1","M1:031:030:B"
"TPHU5056482",40,"E","I","FCL","","ACC","HVG","153/001C","153","001","C","H1","H1:153:001:C"
"DVRU1416891",20,"L","I","FCL","MSC TRANSH","UASL","IWH","110/002C","110","002","C","R1","R1:110:002:C"
"UCLU0147583",20,"E","E","FCL","","UASL","HVG","178/004B","178","004","B","H4","H4:178:004:B"
"TPHU5107403",40,"L","I","","","CNCR","ST","071/001B","071","001","B","S9","S9:071:001:B"
"CLHU8612196",40,"L","I","FCL","007879636","PMA","ST","073/022A","073","022","A","S9","S9:073:022:A"
"DVRU1346618",20,"L","I","FCL","","CNCR","ST","074/011D","074","011","D","X3","X3:074:011:D"
"PCIU3231976",20,"E","E","","","JMC","ST","071/025B","071","025","B","S9","S9:071:025:B"
"MSKU2911336",20,"L","I","FCL","INT","MAI","WHF","504/022B","504","022","B","1P","1P:504:022:B"
"JAYU1010157",20,"E","I","","","ACC","HVG","147/004A","147","004","A","H1","H1:147:004:A"
"SZDU2878572",20,"E","I","","","ACC","ST","032/030C","032","030","C","M1","M1:032:030:C"
"TPHU4661621",40,"L","I","","OLD CARGO","CNCR","NTA","312/005A","312","005","A","N3","N3:312:005:A"
"UFCU6303574",20,"E","I","","","ACC","ST","074/015D","074","015","D","X3","X3:074:015:D"
"JAYU1073957",20,"E","E","FCL","","SFS","HVG","154/004A","154","004","A","H1","H1:154:004:A"
"MSKU2161592",20,"L","I","FCL","INT","MAI","NTA","334/006B","334","006","B","N8","N8:334:006:B"
"EACU4132579",20,"E","I","","","ACC","ST","033/006A","033","006","A","M1","M1:033:006:A"
"TRIU3855527",20,"E","I","","","PMA","HVG","152/001B","152","001","B","H1","H1:152:001:B"
"MSKU7058817",20,"L","I","FCL","INT","MAI","NTA","334/005B","334","005","B","N8","N8:334:005:B"
"TPHU4585619",40,"L","I","","","CNCR","NTA","298/011D","298","011","D","N1","N1:298:011:D"
"TEXU2256156",20,"L","I","FCL","170137","MSS","WHF","517/083B","517","083","B","4P","4P:517:083:B"
"CXNU1216398",20,"L","I","FCL","","ACC","WHF","503/003A","503","003","A","1P","1P:503:003:A"
"GATU0194986",20,"L","I","FCL","INT","WWS","NTA","305/007A","305","007","A","N2","N2:305:007:A"
"NONU4383100",40,"E","I","","","ACC","WHF","508/003B","508","003","B","2P","2P:508:003:B"
"TPHU4237974",40,"E","I","","","ACC","NTA","333/021C","333","021","C","N8","N8:333:021:C"
"TPHU4256505",40,"L","I","","","CNCR","EWH","218/007C","218","007","C","E4","E4:218:007:C"
"TPHU4532861",40,"E","I","","","ACC","WHF","508/003C","508","003","C","2P","2P:508:003:C"
"TPHU5184101",40,"E","I","","","ACC","EWH","218/018A","218","018","A","E4","E4:218:018:A"
"TPHU4630805",40,"L","I","","","CNCR","NTA","326/009B","326","009","B","N6","N6:326:009:B"
"SEAU8596271",40,"L","I","FCL","2096373","MAI","ST","072/019C","072","019","C","S9","S9:072:019:C"
"ICSU4681501",20,"E","I","","","ACC","HVG","191/006A","191","006","A","H4","H4:191:006:A"
"UFCU6158516",20,"E","I","","","ACC","HVG","147/002A","147","002","A","H1","H1:147:002:A"
"MSMU2001023",20,"E","I","","","SSL","ST","071/025A","071","025","A","S9","S9:071:025:A"
"ICSU4773676",20,"E","I","","","ACC","HVG","176/005A","176","005","A","H3","H3:176:005:A"
"TPHU4456674",40,"L","I","","","CNCR","ST","071/019B","071","019","B","S9","S9:071:019:B"
"TEXU5501431",40,"E","E","FCL","","HJS","WHF","508/003D","508","003","D","2P","2P:508:003:D"
"COSU8244811",20,"L","I","","","CNCR","HVG","173/003C","173","003","C","H3","H3:173:003:C"
"RALU5105957",40,"L","I","FCL","351485","RMIPL","NTA","321/019C","321","019","C","N5","N5:321:019:C"
"TPHU4621969",40,"L","I","","","CNCR","EWH","218/007B","218","007","B","E4","E4:218:007:B"
"SZDU2200203",20,"L","I","","","CNCR","NTA","298/013C","298","013","C","N1","N1:298:013:C"
"SCXU4187419",40,"L","I","","","CNCR","EWH","219/003C","219","003","C","E4","E4:219:003:C"
"TEXU2908362",20,"L","I","","","CNCR","HVG","176/008B","176","008","B","H3","H3:176:008:B"
"FBZU8415778",20,"L","I","","","CNCR","ST","012/005A","012","005","A","S2","S2:012:005:A"
"TPXU6818079",20,"L","I","","","CNCR","ST","074/007C","074","007","C","X3","X3:074:007:C"
"CBHU0588004",20,"E","I","","","ACC","EWH","536/001A","536","001","A","EP","EP:536:001:A"
"CTIU4217118",40,"E","I","","","ACC","NTA","322/003B","322","003","B","N5","N5:322:003:B"
"TOLU2074787",40,"L","I","","","CNCR","EWH","227/014A","227","014","A","E5","E5:227:014:A"
"NSLU2005520",20,"L","I","","","CNCR","HVG","176/005C","176","005","C","H3","H3:176:005:C"
"IMTU9021016",40,"L","I","FCL","INT","EGI","WHF","533/031C","533","031","C","NP","NP:533:031:C"
"MMMU7067510",20,"L","I","","","CNCR","HVG","175/005A","175","005","A","H3","H3:175:005:A"
"TPHU8063947",20,"L","I","","","CNCR","ST","074/008D","074","008","D","X3","X3:074:008:D"
"EACU4107513",20,"L","I","","","CNCR","ST","031/014B","031","014","B","M1","M1:031:014:B"
